
timestamp,Fruges Wind Speed [100 m],Fruges Wind Direction [100 m]
20190108T1300,8.072175,318.0128
20190108T1400,8.655634,319.6859
20190108T1500,9.956907,326.46954
20190108T1600,9.794386,327.93262
20190108T1700,10.111874,331.6609
20190108T1800,9.883825,332.91644
20190108T1900,9.6648855,331.5788
20190108T2000,9.588014,329.95865
20190108T2100,9.4667845,328.82867
20190108T2200,9.552486,329.1391
20190108T2300,9.588014,329.95865
20190109T0000,10.06479,332.16193
20190109T0100,9.811218,330.0378
20190109T0200,9.912618,329.03625
20190109T0300,10.456099,326.30994
20190109T0400,10.543718,324.65186
20190109T0500,10.855874,328.94574
20190109T0600,11.315917,334.34076
20190109T0700,10.623088,337.29718
20190109T0800,10.159232,339.2459
20190109T0900,10.096039,343.8987
20190109T1000,9.726767,345.10654
20190109T1100,9.472592,349.04596
20190109T1200,8.820431,356.09952
20190109T1300,7.7162166,356.28473
20190109T1400,7.3552704,352.97162
20190109T1500,8.720665,356.0548
20190109T1600,9.400532,0.6094971
20190109T1700,8.905054,358.06943
20190109T1800,8.908984,2.573349
20190109T1900,8.260751,6.952957
20190109T2000,7.665507,7.4958496
20190109T2100,7.4732857,12.362473
20190109T2200,7.324616,14.225952
20190109T2300,7.180529,12.874985
20190110T0000,7.3082147,16.69925
20190110T0100,7.17844,18.687347
20190110T0200,6.835203,20.556046
20190110T0300,6.053924,22.32866
20190110T0400,5.3235326,28.00917
20190110T0500,4.565085,28.810776
20190110T0600,4.215448,22.306198
20190110T0700,4.0261645,14.381378
20190110T0800,3.945884,8.74614
20190110T0900,3.8052595,3.0127716
20190110T1000,3.5,360.0
20190110T1100,3.5057096,3.2704926
20190110T1200,2.4698179,338.6294
20190110T1300,2.5961509,344.35776
20190110T1400,2.4738634,345.96375
20190110T1500,4.2426405,351.8699
20190110T1600,4.0112343,355.71088
20190110T1700,3.4058774,356.63354
20190110T1800,3.535534,351.8699
20190110T1900,3.7696154,338.1986
20190110T2000,3.8078866,336.8014
20190110T2100,3.8483763,335.43283
20190110T2200,3.8910153,334.0935
20190110T2300,3.7735925,327.99463
20190111T0000,3.8209944,317.1211
20190111T0100,3.8418746,308.65982
20190111T0200,3.5341196,295.11484
20190111T0300,3.8639357,280.43747
20190111T0400,4.527693,276.34018
20190111T0500,5.178803,280.008
20190111T0600,5.6302757,289.7223
20190111T0700,5.800862,305.88214
20190111T0800,6.080296,323.69553
20190111T0900,6.484597,340.16788
20190111T1000,6.4629717,351.99527
20190111T1100,6.2201285,355.38934
20190111T1200,4.7095647,356.34778
20190111T1300,4.652956,351.34747
20190111T1400,5.1195703,347.5926
20190111T1500,5.9135437,341.25867
20190111T1600,6.648308,338.83875
20190111T1700,6.4257298,339.0265
20190111T1800,6.648308,338.83875
20190111T1900,6.2241464,336.31793
20190111T2000,5.770615,332.10272
20190111T2100,5.5758405,327.45
20190111T2200,5.2630787,321.17017
20190111T2300,4.9517674,313.36343
20190112T0000,5.3823786,305.16644
20190112T0100,5.283938,299.4759
20190112T0200,5.4708314,288.10376
20190112T0300,6.1188235,281.30994
20190112T0400,6.477654,278.88065
20190112T0500,6.9115844,273.31778
20190112T0600,7.7781744,278.1301
20190112T0700,7.9762144,277.92694
20190112T0800,8.0,270.0
20190112T0900,8.502353,268.6521
20190112T1000,8.6,270.0
20190112T1100,8.9,270.0
20190112T1200,9.812747,272.92072
20190112T1300,10.040419,275.14276
20190112T1400,9.712878,272.95078
20190112T1500,9.873197,276.98108
20190112T1600,9.749359,280.04202
20190112T1700,9.631718,282.59332
20190112T1800,10.02447,288.6157
20190112T1900,9.8030615,288.43494
20190112T2000,9.492102,290.34412
